iter	Passed	Remaining
459	799	939
460	801	936
461	802	934
462	803	931
463	804	929
464	805	927
465	807	925
466	808	922
467	809	920
468	810	917
469	811	915
470	813	913
471	815	912
472	816	909
473	817	907
474	819	905
475	820	902
476	821	900
477	822	898
478	823	896
479	825	893
480	826	891
481	827	889
482	828	887
483	830	885
484	831	883
485	833	881
486	834	878
487	835	876
488	836	874
489	838	872
490	839	870
491	840	868
492	842	866
493	844	864
494	845	862
495	846	860
496	848	858
497	849	856
498	851	854
499	852	852
500	854	850
501	855	848
502	857	847
503	858	845
504	860	843
505	862	841
506	863	839
507	864	837
508	866	835
509	868	834
510	869	831
511	870	829
512	873	828
513	874	826
514	875	824
515	877	822
516	878	820
517	879	818
518	881	816
519	882	814
520	883	812
521	884	810
522	886	808
523	887	806
524	889	804
525	890	802
526	892	800
527	893	798
528	895	796
529	896	794
530	897	792
531	898	790
532	900	789
533	902	787
534	903	785
535	905	783
536	906	781
537	907	779
538	908	777
539	909	775
540	911	773
541	912	771
542	913	768
543	915	767
544	917	765
545	918	763
546	919	761
547	920	759
548	922	757
549	923	755
550	924	753
551	925	751
552	926	749
553	927	747
554	929	745
555	931	743
556	933	742
557	934	740
558	935	738
559	937	736
560	938	734
561	940	732
562	941	731
563	943	729
564	946	728
565	948	727
566	949	725
567	950	723
568	952	721
569	953	719
570	955	717
571	956	715
572	957	713
573	959	711
574	960	710
575	961	707
576	962	705
577	964	704
578	965	702
579	966	700
580	968	698
581	969	696
582	970	694
583	971	692
584	974	691
585	976	689
586	977	687
587	978	685
588	979	683
589	980	681
590	982	679
591	983	677
592	984	675
593	985	673
594	986	671
595	988	670
596	990	668
597	991	666
598	992	664
599	994	662
600	995	661
601	997	659
602	998	657
603	1000	655
604	1002	654
605	1003	652
606	1005	650
607	1007	649
608	1008	647
609	1010	645
610	1011	643
611	1012	642
612	1013	640
613	1015	638
614	1016	636
615	1018	634
616	1019	633
617	1021	631
618	1022	629
619	1023	627
620	1024	625
621	1025	623
622	1027	621
623	1028	619
624	1029	617
625	1031	616
626	1033	614
627	1034	612
628	1036	611
629	1037	609
